"category","answerable","builtStatus","expectedTool","question","note"
"dashboard-overview","now","wired","getDashboard","How are we doing?","Canonical dashboard summary ask"
"dashboard-overview","now","wired","getDashboard","Give me the dashboard.","Direct dashboard fetch"
"dashboard-overview","now","wired","getMetric","What's our revenue this year?","revenue metric"
"dashboard-overview","now","wired","getMetric","What's ARR right now?","arr_mrr metric"
"dashboard-overview","now","wired","getDashboard","How much cash do we have and how long does it last?","Dashboard cash + runway tiles"
"dashboard-overview","ambiguous","wired","getMetric","What's our runway?","May hit getCashFlow or getDashboard instead of getMetric runway"
"dashboard-overview","now","wired","getDashboard","Are we on track for the year?","Dashboard carries budget/PY comparators"
"dashboard-overview","now","wired","getMetric","What's our gross margin?","gross_margin_pct metric"
"dashboard-overview","now","wired","getMetric","What's net income for FY26?","net_income metric"
"dashboard-overview","now","wired","getMetric","How fast are we growing?","revenue_growth metric"
"dashboard-overview","now","wired","getMetric","What's our Rule of 40 score?","rule_of_40 metric"
"dashboard-overview","now","wired","getMetric","What's our burn multiple?","burn_multiple metric"
"dashboard-overview","now","wired","getMetric","What's our net burn per month?","net_burn metric"
"dashboard-overview","now","wired","getMetric","What's NRR?","nrr cohort metric"
"dashboard-overview","now","wired","getMetric","What's our LTV to CAC ratio?","ltv_cac metric"
"dashboard-overview","now","wired","explainTile","Explain the gross margin tile.","Tile drill explanation"
"dashboard-overview","now","wired","explainTile","Why is the runway tile showing what it shows?","explainTile on runway"
"dashboard-overview","now","wired","explainTile","What's behind the ARR number on the dashboard?","Tile lineage"
"dashboard-overview","now","wired","explainTile","Walk me through the net income tile.","explainTile on net income"
"dashboard-overview","now","wired","getMetric","What's our magic number?","magic_number metric"
"dashboard-overview","now","wired","getMetric","What's CAC payback look like?","cac_payback metric"
"dashboard-overview","now","wired","getMetric","What's our logo retention?","logo_retention metric"
"dashboard-overview","now","wired","getMetric","What's operating income for the year?","operating_income metric"
"dashboard-overview","now","wired","getMetric","What's our net margin?","net_margin_pct metric"
"dashboard-overview","now","wired","getDashboard","Give me the headline KPIs for the board.","Dashboard tiles serve board KPIs"
"dashboard-overview","now","wired","getMetric","How did revenue do versus budget?","Metric tile carries budget comparator"
"dashboard-overview","now","wired","getMetric","How does ARR compare year over year?","Metric tile carries PY comparator"
"dashboard-overview","now","wired","getMetric","Is our gross margin improving or getting worse?","Metric tile carries trend"
"dashboard-overview","now","wired","getDashboard","What are the most important numbers I should know going into the board meeting?","Dashboard cockpit"
"dashboard-overview","now","wired","getDashboard","Summarize our financial health in a few bullets.","Dashboard summary narration"
"dashboard-overview","now","wired","getMetric","What's GRR?","grr metric (in catalog)"
"dashboard-overview","now","wired","getMetric","What's our utilization?","utilization metric is wired even though Projects register isn't"
"dashboard-overview","now","wired","getMetric","What's MRR?","arr_mrr metric"
"dashboard-overview","now","wired","getMetric","How much are we losing each month right now?","net_burn metric"
"dashboard-overview","now","wired","getDashboard","Show me the dashboard as of May.","Period-scoped dashboard read"
"dashboard-overview","now","wired","getMetric","What was gross margin in Q1?","Period-scoped metric"
"dashboard-overview","now","wired","getMetric","Did we beat plan on net income?","Budget comparator on metric tile"
"dashboard-overview","now","wired","getMetric","What's our gross profit this year?","gross_profit metric"
"dashboard-overview","now","wired","getDashboard","Quick health check before my 1:1 with a board member.","Dashboard cockpit"
"dashboard-overview","now","wired","getDashboard","What's the one metric I should be worried about?","Dashboard with trend flags"
"dashboard-overview","now","wired","getMetric","How efficient is our growth?","Maps to efficiency family metrics"
"dashboard-overview","now","wired","getDashboard","What does the dashboard say about our cash position?","Dashboard cash tiles"
"dashboard-overview","now","wired","explainTile","Explain the Rule of 40 tile and how we got there.","Tile drill into components"
"dashboard-overview","now","wired","explainTile","Break down the CAC tile for me.","Pure-metric pane drill"
